common_name, common_name_regex, scientific_name, scientific_name_regex
Redpoll,^Redpoll|^(Common |Mealy |Lesser |Arctic )Redpoll,Acanthis flammea,^(Acanthis|Carduelis) flammea
Parrot Crossbill,^Parrot Crossbill$,Loxia pytyopsittacus,^Loxia pytyopsittacus
Scottish Crossbill,^Scottish Crossbill$,Loxia scotica,^Loxia scotica
Crossbill,^(Common |Red )?Crossbill$,Loxia curvirostra,^Loxia curvirostra
Two-barred Crossbill,^Two-barred Crossbill$,Loxia leucoptera,^Loxia leucoptera
Goldfinch,^(European )?Goldfinch,Carduelis carduelis,^Carduelis carduelis
Citril Finch,^Citril Finch$,Carduelis citrinella,^Carduelis citrinella
Serin,^Serin$|^European Serin$,Serinus serinus,^Serinus serinus
Siskin,^Siskin$|^Eurasian Siskin$,Spinus spinus,^Spinus spinus
Lapland Bunting,^\bLapland (Bunting|Longspur)\b,Calcarius lapponicus,^Calcarius lapponicus
Snow Bunting,^\bSnow Bunting\b,Plectrophenax nivalis,^Plectrophenax nivalis
Corn Bunting,^Corn Bunting,Emberiza calandra,^Emberiza calandra
Yellowhammer,^Yellow(\s)?hammer,Emberiza citrinella,^Emberiza citrinella
Pine Bunting,^Pine Bunting$,Emberiza leucocephalos,^Emberiza leucocephalos
Rock Bunting,^Rock Bunting$,Emberiza cia,^Emberiza cia
Ortolan Bunting,^Ortolan Bunting$,Emberiza hortulana,^Emberiza hortulana
Cretzschmar's Bunting,^Cretzschmar's Bunting$,Emberiza caesia,^Emberiza caesia
Cirl Bunting,^Cirl Bunting$,Emberiza cirlus,^Emberiza cirlus
Chestnut-eared Bunting,^Chestnut-eared Bunting$,Emberiza fucata,^Emberiza fucata
Little Bunting,^Little Bunting$,Emberiza pusilla,^Emberiza pusilla
Yellow-browed Bunting,^Yellow-browed Bunting$,Emberiza chrysophrys,^Emberiza chrysophrys
Rustic Bunting,^Rustic Bunting$,Emberiza rustica,^Emberiza rustica
Yellow-breasted Bunting,^Yellow-breasted Bunting$,Emberiza aureola,^Emberiza aureola
Chestnut Bunting,^Chestnut Bunting$,Emberiza rutila,^Emberiza rutila
Black-headed Bunting,^Black-headed Bunting$,Emberiza melanocephala,^Emberiza melanocephala
Black-faced Bunting,^Black-faced Bunting$,Emberiza spodocephala,^Emberiza spodocephala
Pallas's Reed Bunting,^Pallas's Reed Bunting$,Emberiza pallasi,^Emberiza pallasi
Reed Bunting,^(Common )?Reed Bunting,Emberiza schoeniclus,^Emberiza schoeniclus
Lark Sparrow,^Lark Sparrow$,Chondestes grammacus,^Chondestes grammacus
Dark-eyed Junco,^Dark-eyed Junco$,Junco hyemalis,^Junco hyemalis
White-crowned Sparrow,^White-crowned Sparrow$,Zonotrichia leucophrys,^Zonotrichia leucophrys
White-throated Sparrow,^White-throated Sparrow$,Zonotrichia albicollis,^Zonotrichia albicollis
Savannah Sparrow,^Savannah Sparrow$,Passerculus sandwichensis,^Passerculus sandwichensis
Song Sparrow,^Song Sparrow$,Melospiza melodia,^Melospiza melodia
Eastern Towhee,^Eastern Towhee$,Pipilo erythrophthalmus,^Pipilo erythrophthalmus
Bobolink,^Bobolink$,Dolichonyx oryzivorus,^Dolichonyx oryzivorus
Baltimore Oriole,^Baltimore Oriole$,Icterus galbula,^Icterus galbula
Red-winged Blackbird,^Red-winged Blackbird$,Agelaius phoeniceus,^Agelaius phoeniceus
Brown-headed Cowbird,^Brown-headed Cowbird$,Molothrus ater,^Molothrus ater
Ovenbird,^Ovenbird$,Seiurus aurocapilla,^Seiurus aurocapilla
Northern Waterthrush,^Northern Waterthrush$,Parkesia noveboracensis,^Parkesia noveboracensis
