siteName,regex,matchName
Burton Stather,Burton Stather,Burton Stather
Burton Stather,Brick Ponds,Burton Stather Brick Ponds
Burton Stather,Burton(-|\s)+upon(-|\s)+Stather,Burton upon Stather
Burwell,\bBurwell\b,Burwell
Burwell,Ruckland Gate,Ruckland Gate Plantation
Buslingthorpe,\bBuslingthorpe\b,Buslingthorpe
Butterwick,^(?!.*(East|West))\bButterwick\b,Butterwick
Cabourne,Badger Hills,Badger Hills
Cabourne,\bCabourne\b,Cabourne
Cabourne,Fonaby Top,Fonaby Top
Cabourne,Garter Wood,Garter Wood
Cabourne,Pelham'?s Pillar Wood,Pelham's Pillar Wood
Cabourne,Pelham'?s Wood,Pelham's Wood
Cadney,\bCadney\b,Cadney Village
Cadwell Park,Cadwell,Cadwell Park
Caenby,\bCaenby\b,Caenby
Caistor,\bCaistor\b,Caistor
Calceby,\bCalceby\b,Calceby
Calcethorpe,\bCalcethorpe\b,Calcethorpe
Cambridgeshire,T(y|i)dd St Giles,Tydd St Giles
Cammeringham,^Cammeringham$,Cammeringham
Candlesby,\bCandlesby\b,Candlesby
Canwick,\bCanwick\b,Canwick
Lincoln,Canwick S(ewage\s)?T(reatment|s)?W(orks)?,Canwick STW
Careby,\bCareby\b,Careby Wood
Careby,Stanton,Stanton's Pit
Carlby,\bCarlby\b,Carlby
Carlton le Moorland,Carlton(-|\s)+le(-|\s)+Moorland,Carlton-le-Moorland
Carlton Scroop,Carlton Scroop,Carlton Scroop
Carrington,\bCarrington\b,Carrington
Carrington,\bMedlam\b,Medlam
Casewick Park,Casewick,Casewick Park
Casthorpe,\bCasthorpe\b,Casthorpe
Castle Bytham,Bottleneck,Bottleneck Meadow
Castle Bytham,Cabbage Hill,Cabbage Hill Wood
Castle Bytham,Castle Bytham,Castle Bytham
Castle Bytham,Jackson'?s Meadow,Jackson's Meadow
Castle Bytham,Lawn Wood,Lawn Wood/Meadows
Castle Bytham,Little Haw Wood,Little Haw Wood
Castle Carlton,Castle Carlton,Castle Carlton
Caythorpe,\bCaythorpe\b,Caythorpe
Caythorpe,Frieston,Frieston Flashes
Chambers Farm Wood,Chamber'?s? Farm Wood,Chamber's Farm Wood
Chambers Farm Wood,Great Scrubbs Wood,Great Scrubbs Wood
Chambers Farm Wood,(Hatton|Chamber'?s) (Plantation|Woods?),Hatton/Chambers Plantation/Wood
Chambers Farm Wood,Ivy Wood,Ivy Wood
Chambers Farm Wood,Little Scrubbs,Little Scrubbs Wood/Meadow
Chambers Farm Wood,Minting Park,Minting Park
